FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXERRA,FLUXB,FLUXERRB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg03bcq_flt.fits,F125W,3,0.0,0,0,2014-04-11,11:22:37,88.435623,79207.0546875,122.75254821777344,198.94314575195312,2.5515859127044678,0.7166376113891602,134.95062255859375,161.426513671875,139.93359375,158.1374969482422,0.8227919936180115
icdg03bhq_flt.fits,F125W,3,0.0,1,2,2014-04-11,11:30:33,88.435623,79588.4140625,122.71356201171875,206.8651885986328,2.5967791080474854,0.6718273162841797,145.0547332763672,161.36207580566406,150.0164031982422,158.06094360351562,1.1233114004135132
icdg03biq_flt.fits,F125W,3,0.0,1,2,2014-04-11,11:32:20,88.435623,79606.3359375,122.47086334228516,200.93362426757812,2.5716805458068848,0.6291532516479492,145.04791259765625,161.36016845703125,150.00390625,158.0617218017578,0.7120590806007385
icdg03bjq_flt.fits,F125W,3,0.0,1,2,2014-04-11,11:34:07,88.435623,79847.8359375,122.60935974121094,199.03335571289062,2.573368787765503,0.5787410736083984,145.05245971679688,161.36119079589844,149.99063110351562,158.0625,0.8499324917793274
icdg03bmq_flt.fits,F125W,3,0.0,2,4,2014-04-11,11:40:17,88.435623,78870.6796875,121.31782531738281,188.2586212158203,2.522421360015869,0.6589193344116211,134.8946990966797,172.7117919921875,139.8468780517578,169.4609375,1.181044340133667
icdg03bnq_flt.fits,F125W,3,0.0,2,4,2014-04-11,11:42:04,88.435623,79176.0,121.43732452392578,186.5289306640625,2.506004571914673,0.6394290924072266,134.8927459716797,172.70831298828125,139.86953735351562,169.47500610351562,0.7646170258522034
icdg03boq_flt.fits,F125W,3,0.0,2,4,2014-04-11,11:43:51,88.435623,79141.7578125,121.1003189086914,189.1747589111328,2.514003038406372,0.609431266784668,134.89169311523438,172.71408081054688,139.8640594482422,169.46328735351562,0.9205566644668579
icdg03bsq_flt.fits,F125W,3,0.0,3,6,2014-04-11,11:51:47,88.435623,78930.203125,124.45994567871094,190.97389221191406,2.4842021465301514,0.6030797958374023,145.01312255859375,172.6787109375,149.99765014648438,169.4343719482422,1.037998914718628
icdg03btq_flt.fits,F125W,3,0.0,3,6,2014-04-11,11:53:34,88.435623,79148.1328125,124.37882232666016,190.29049682617188,2.4865121841430664,0.5862178802490234,145.01556396484375,172.67483520507812,150.0070343017578,169.42733764648438,0.8799620270729065
icdg03buq_flt.fits,F125W,3,0.0,3,6,2014-04-11,11:55:21,88.435623,79310.1015625,124.47583770751953,190.59750366210938,2.4844415187835693,0.5823259353637695,145.0198211669922,172.68109130859375,150.0148468017578,169.4484405517578,1.0086066722869873
icdg04bzq_flt.fits,F125W,4,1.0,0,0,2014-04-11,12:54:41,88.435623,78911.6796875,121.47651672363281,189.7861785888672,2.6547670364379883,0.9043741226196289,141.6371612548828,159.0959930419922,144.90390014648438,153.80624389648438,0.7492901086807251
icdg04c0q_flt.fits,F125W,4,1.0,0,0,2014-04-11,12:56:28,88.435623,79117.2421875,122.47390747070312,193.9353485107422,2.676482677459717,0.8160820007324219,141.6326446533203,159.09226989746094,144.890625,153.80624389648438,0.7444308996200562
icdg04c1q_flt.fits,F125W,4,1.0,0,0,2014-04-11,12:58:15,88.435623,79231.8984375,122.36358642578125,188.25030517578125,2.6529266834259033,0.7623796463012695,141.6332550048828,159.08486938476562,144.8757781982422,153.8039093017578,0.7274667620658875
icdg04c6q_flt.fits,F125W,4,1.0,1,2,2014-04-11,13:06:11,88.435623,78841.140625,121.62189483642578,188.3549346923828,2.6461236476898193,0.680506706237793,151.77842712402344,159.02760314941406,154.9812469482422,153.7078094482422,1.0342284440994263
icdg04c7q_flt.fits,F125W,4,1.0,1,2,2014-04-11,13:07:58,88.435623,79002.9453125,121.64805603027344,194.63389587402344,2.666884183883667,0.6238241195678711,151.7748565673828,159.02517700195312,154.94921875,153.7421875,0.7258878350257874
icdg04c8q_flt.fits,F125W,4,1.0,1,2,2014-04-11,13:09:45,88.435623,79130.671875,121.70938873291016,202.61546325683594,2.7010786533355713,0.5932369232177734,151.77182006835938,159.02098083496094,154.9578094482422,153.7351531982422,0.7003215551376343
icdg04cbq_flt.fits,F125W,4,1.0,2,4,2014-04-11,13:15:55,88.435623,79269.390625,119.39319610595703,196.3756866455078,2.677635908126831,0.6358795166015625,141.59959411621094,170.39707946777344,144.86874389648438,165.0242156982422,0.9902756214141846
icdg04ccq_flt.fits,F125W,4,1.0,2,4,2014-04-11,13:17:42,88.435623,79563.2890625,119.58073425292969,200.2735595703125,2.6966793537139893,0.6278343200683594,141.59130859375,170.3906707763672,144.85702514648438,164.9968719482422,0.7169725298881531
icdg04cdq_flt.fits,F125W,4,1.0,2,4,2014-04-11,13:19:29,88.435623,79645.9140625,119.62643432617188,201.2828369140625,2.688129425048828,0.5626487731933594,141.5851287841797,170.38929748535156,144.82266235351562,164.9617156982422,0.6765409708023071
icdg04chq_flt.fits,F125W,4,1.0,3,6,2014-04-11,13:27:25,88.435623,78328.4296875,117.7037124633789,203.10609436035156,2.6124212741851807,0.6340503692626953,151.72073364257812,170.34361267089844,154.9453125,164.9609375,1.0340721607208252
icdg04ciq_flt.fits,F125W,4,1.0,3,6,2014-04-11,13:29:12,88.435623,78673.4765625,118.88392639160156,200.79994201660156,2.605071783065796,0.6039438247680664,151.72122192382812,170.3516845703125,154.9296875,164.9578094482422,0.7561060190200806
icdg04cjq_flt.fits,F125W,4,1.0,3,6,2014-04-11,13:30:59,88.435623,78861.5546875,119.09086608886719,198.67529296875,2.5985829830169678,0.5741481781005859,151.72178649902344,170.35374450683594,154.9093780517578,164.96640014648438,0.8749106526374817
