FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXERRA,FLUXERRB,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg03bdq_flt.fits,F160W,3,0.0,0,1,2014-04-11,11:24:30,88.435623,60380.65234375,53.682796478271484,3.302431106567383,365.3093566894531,0.8060593605041504,134.7991943359375,161.61386108398438,139.7429656982422,158.33984375,49.191688537597656
icdg03bfq_flt.fits,F160W,3,0.0,0,1,2014-04-11,11:26:17,88.435623,60490.62890625,53.618133544921875,3.29944109916687,364.5678405761719,0.8147640228271484,134.80206298828125,161.6124725341797,139.7468719482422,158.35702514648438,47.71527099609375
icdg03bgq_flt.fits,F160W,3,0.0,0,1,2014-04-11,11:28:04,88.435623,60300.62890625,53.57557678222656,3.2826530933380127,361.7944641113281,0.7890605926513672,134.79605102539062,161.60557556152344,139.75390625,158.3351593017578,47.24479293823242
icdg03bkq_flt.fits,F160W,3,0.0,1,3,2014-04-11,11:36:00,88.435623,61460.33203125,55.14738845825195,3.2374026775360107,353.9058837890625,0.6774916648864746,144.931396484375,161.5585174560547,149.8914031982422,158.2742156982422,48.66310501098633
icdg03blq_flt.fits,F160W,3,0.0,1,3,2014-04-11,11:37:47,88.435623,61745.02734375,55.017215728759766,3.2596490383148193,355.5672607421875,0.6811814308166504,144.91946411132812,161.54965209960938,149.86483764648438,158.2882843017578,48.5240478515625
icdg03bpq_flt.fits,F160W,3,0.0,2,5,2014-04-11,11:45:44,88.435623,61568.0234375,53.02328872680664,3.335339307785034,352.3764953613281,0.6029229164123535,134.7380828857422,172.90724182128906,139.72811889648438,169.6437530517578,45.712066650390625
icdg03bqq_flt.fits,F160W,3,0.0,2,5,2014-04-11,11:47:31,88.435623,61617.87109375,53.00847625732422,3.3426220417022705,349.2621154785156,0.6438541412353516,134.73300170898438,172.90835571289062,139.7140655517578,169.65780639648438,44.13810348510742
icdg03brq_flt.fits,F160W,3,0.0,2,5,2014-04-11,11:49:18,88.435623,61036.8515625,52.68876647949219,3.371891736984253,350.70751953125,0.6252145767211914,134.7350311279297,172.90786743164062,139.70703125,169.67343139648438,47.13433837890625
icdg03bvq_flt.fits,F160W,3,0.0,3,7,2014-04-11,11:57:14,88.435623,60770.19140625,52.226505279541016,3.3255019187927246,348.976318359375,0.6965951919555664,144.8806610107422,172.86825561523438,149.8507843017578,169.6140594482422,50.094024658203125
icdg03bwq_flt.fits,F160W,3,0.0,3,7,2014-04-11,11:59:01,88.435623,61083.30859375,52.49951934814453,3.259167432785034,354.21624755859375,0.6362361907958984,144.8797149658203,172.8718719482422,149.8742218017578,169.6179656982422,50.578651428222656
