FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF
icdg04clq_flt.fits,F160W,4,227.0,3,7,2014-04-11,13:34:39,88.435623,6.680595397949219,-2.40521240234375
icdg04cmq_flt.fits,F160W,4,227.0,3,7,2014-04-11,13:36:26,88.435623,6.667716979980469,-2.38751220703125
icdg05coq_flt.fits,F125W,5,202.0,0,0,2014-04-11,14:31:14,88.435623,-10.094284057617188,-11.347763061523438
icdg05cpq_flt.fits,F125W,5,202.0,0,0,2014-04-11,14:33:01,88.435623,-10.095657348632812,-11.3447265625
icdg05cqq_flt.fits,F125W,5,202.0,0,0,2014-04-11,14:34:48,88.435623,-10.09716796875,-11.342941284179688
icdg05crq_flt.fits,F160W,5,202.0,0,1,2014-04-11,14:36:41,88.435623,-10.135604858398438,-11.302810668945312
icdg05ctq_flt.fits,F160W,5,202.0,0,1,2014-04-11,14:38:28,88.435623,-10.13494873046875,-11.322158813476562
icdg05cuq_flt.fits,F160W,5,202.0,0,1,2014-04-11,14:40:15,88.435623,-10.142364501953125,-11.321121215820312
icdg05cvq_flt.fits,F125W,5,202.0,1,2,2014-04-11,14:42:44,88.435623,-0.0142822265625,-11.416854858398438
icdg05cwq_flt.fits,F125W,5,202.0,1,2,2014-04-11,14:44:31,88.435623,-0.0228271484375,-11.422698974609375
icdg05cxq_flt.fits,F125W,5,202.0,1,2,2014-04-11,14:46:18,88.435623,-0.023193359375,-11.422698974609375
icdg05cyq_flt.fits,F160W,5,202.0,1,3,2014-04-11,14:48:11,88.435623,-0.04095458984375,-11.367050170898438
icdg05czq_flt.fits,F160W,5,202.0,1,3,2014-04-11,14:49:58,88.435623,-0.051177978515625,-11.366729736328125
icdg05d0q_flt.fits,F125W,5,202.0,2,4,2014-04-11,14:52:28,88.435623,-10.138626098632812,0.03912353515625
icdg05d1q_flt.fits,F125W,5,202.0,2,4,2014-04-11,14:54:15,88.435623,-10.147171020507812,0.033172607421875
icdg05d2q_flt.fits,F125W,5,202.0,2,4,2014-04-11,14:56:02,88.435623,-10.154220581054688,0.0139007568359375
icdg05d3q_flt.fits,F160W,5,202.0,2,5,2014-04-11,14:57:55,88.435623,-10.196807861328125,0.00691986083984375
icdg05d4q_flt.fits,F160W,5,202.0,2,5,2014-04-11,14:59:42,88.435623,-10.208419799804688,0.00579833984375
