file name,orbit,exposure,filter,date-obs,time-obs,angle,dither
icdg10veq_flt.fits,10,48,F160W,2013-10-16,21:15:16,129.0002,12
icdg10vfq_flt.fits,10,48,F160W,2013-10-16,21:15:49,129.0002,12
icdg10vgq_flt.fits,10,48,F160W,2013-10-16,21:16:22,129.0002,12
icdg10vhq_flt.fits,10,48,F160W,2013-10-16,21:16:55,129.0002,12
icdg10viq_flt.fits,10,49,F125W,2013-10-16,21:17:34,129.0002,13
icdg10vjq_flt.fits,10,49,F125W,2013-10-16,21:18:22,129.0002,13
icdg10vkq_flt.fits,10,49,F125W,2013-10-16,21:19:10,129.0002,13
icdg10vlq_flt.fits,10,49,F125W,2013-10-16,21:19:58,129.0002,13
icdg11vnq_flt.fits,11,49,F125W,2013-10-16,22:16:17,101.0005,1
icdg11voq_flt.fits,11,49,F125W,2013-10-16,22:17:05,101.0005,1
icdg11vpq_flt.fits,11,49,F125W,2013-10-16,22:17:53,101.0005,1
icdg11vqq_flt.fits,11,49,F125W,2013-10-16,22:18:41,101.0005,1
icdg11vrq_flt.fits,11,50,F160W,2013-10-16,22:19:35,101.0005,2
icdg11vsq_flt.fits,11,50,F160W,2013-10-16,22:20:08,101.0005,2
icdg11vtq_flt.fits,11,50,F160W,2013-10-16,22:20:41,101.0005,2
icdg11vuq_flt.fits,11,50,F160W,2013-10-16,22:21:14,101.0005,2
icdg11vvq_flt.fits,11,50,F160W,2013-10-16,22:21:47,101.0005,2
icdg11vwq_flt.fits,11,51,F125W,2013-10-16,22:22:26,101.0005,3
icdg11vxq_flt.fits,11,51,F125W,2013-10-16,22:23:14,101.0005,3
icdg11vyq_flt.fits,11,51,F125W,2013-10-16,22:24:02,101.0005,3
icdg11vzq_flt.fits,11,51,F125W,2013-10-16,22:24:50,101.0005,3
icdg11w0q_flt.fits,11,52,F160W,2013-10-16,22:25:44,101.0005,4
icdg11w1q_flt.fits,11,52,F160W,2013-10-16,22:26:17,101.0005,4
icdg11w2q_flt.fits,11,52,F160W,2013-10-16,22:26:50,101.0005,4
icdg11w3q_flt.fits,11,52,F160W,2013-10-16,22:27:23,101.0005,4
icdg11w4q_flt.fits,11,52,F160W,2013-10-16,22:27:56,101.0005,4
icdg11w5q_flt.fits,11,53,F125W,2013-10-16,22:28:35,101.0005,5
icdg11w6q_flt.fits,11,53,F125W,2013-10-16,22:29:23,101.0005,5
icdg11w7q_flt.fits,11,53,F125W,2013-10-16,22:30:11,101.0005,5
icdg11w8q_flt.fits,11,53,F125W,2013-10-16,22:30:59,101.0005,5
icdg11w9q_flt.fits,11,54,F160W,2013-10-16,22:31:53,101.0005,6
icdg11waq_flt.fits,11,54,F160W,2013-10-16,22:32:26,101.0005,6
icdg11wbq_flt.fits,11,54,F160W,2013-10-16,22:32:59,101.0005,6
icdg11wcq_flt.fits,11,54,F160W,2013-10-16,22:33:32,101.0005,6
icdg11wdq_flt.fits,11,54,F160W,2013-10-16,22:34:05,101.0005,6
icdg11weq_flt.fits,11,55,F125W,2013-10-16,22:34:44,101.0005,7
icdg11wfq_flt.fits,11,55,F125W,2013-10-16,22:35:32,101.0005,7
icdg11wgq_flt.fits,11,55,F125W,2013-10-16,22:36:20,101.0005,7
icdg11whq_flt.fits,11,55,F125W,2013-10-16,22:37:08,101.0005,7
icdg11wiq_flt.fits,11,56,F160W,2013-10-16,22:38:02,101.0005,8
