FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,FIELD10,FIELD11,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM
icdg10usq_myfits.fits,F125W,10,129.0,0,6,2013-10-16,20:59:55,29.663755,15.906082153320312,8.307205200195312,15.906082153320312,8.307205200195312,129.2003936767578,222.08692932128906,0.0,0.9900000095367432,-0.019912436604499817,1.6215590238571167,8187.01416015625,22.0188045501709,1.4781461954116821,1.4325840473175049
icdg10utq_myfits.fits,F125W,10,129.0,0,6,2013-10-16,21:00:43,29.663755,15.885467529296875,8.338638305664062,15.885467529296875,8.338638305664062,129.160400390625,222.14476013183594,0.0,0.9920899868011475,-0.09426293522119522,1.664322853088379,8154.74365234375,22.24634552001953,1.4370657205581665,1.4506537914276123
icdg10uuq_myfits.fits,F125W,10,129.0,0,6,2013-10-16,21:01:31,29.663755,15.917465209960938,8.311454772949219,15.917465209960938,8.311454772949219,129.2071533203125,222.102294921875,0.0,0.9927499890327454,-0.07140897959470749,1.6637022495269775,8151.443359375,22.240156173706055,1.4842621088027954,1.4423996210098267
icdg10uvq_myfits.fits,F160W,10,129.0,0,7,2013-10-16,21:02:25,14.970785000000001,15.979957580566404,8.330078125,15.979957580566406,8.330078125,129.1013641357422,222.31333923339844,2.0,0.9900000095367432,-0.05911102518439293,2.1252808570861816,8354.134765625,30.278038024902344,1.3942062854766846,1.585517168045044
icdg10uwq_myfits.fits,F160W,10,129.0,0,7,2013-10-16,21:02:58,14.970785000000001,15.99005126953125,8.3306884765625,15.99005126953125,8.3306884765625,129.111572265625,222.30105590820312,2.0,0.9924200177192688,-0.03845123574137688,2.11639404296875,8356.78125,30.231483459472656,1.3962664604187012,1.5631234645843506
icdg10uxq_myfits.fits,F160W,10,129.0,0,7,2013-10-16,21:03:31,14.970785000000001,15.993659973144533,8.3551025390625,15.993659973144531,8.3551025390625,129.1058807373047,222.30697631835938,2.0,0.9927499890327454,-0.049149878323078156,2.108865261077881,8317.3359375,30.145999908447266,1.3952875137329102,1.5778818130493164
icdg10uyq_myfits.fits,F160W,10,129.0,0,7,2013-10-16,21:04:04,14.970785000000001,15.980148315429688,8.352798461914062,15.980148315429688,8.352798461914062,129.10641479492188,222.3114776611328,2.0,0.9930800199508667,-0.052928198128938675,2.0894694328308105,8299.0556640625,30.018211364746094,1.3988590240478516,1.5738824605941772
icdg10uzq_myfits.fits,F160W,10,129.0,0,7,2013-10-16,21:04:37,14.970785000000001,15.98711395263672,8.351982116699219,15.987113952636719,8.351982116699219,129.11097717285156,222.3041534423828,2.0,0.9917600154876709,-0.05773450806736946,2.122286796569824,8376.3291015625,30.285837173461914,1.3993483781814575,1.5709260702133179
icdg10v0q_myfits.fits,F125W,10,129.0,0,8,2013-10-16,21:05:16,29.663755,15.903083801269533,8.315185546875,15.903083801269531,8.315185546875,129.186279296875,222.13311767578125,0.0,0.9948400259017944,-0.0868808850646019,1.613895058631897,8142.8701171875,21.940153121948242,1.4622288942337036,1.4576401710510254
icdg10v1q_myfits.fits,F125W,10,129.0,0,8,2013-10-16,21:06:04,29.663755,15.913345336914062,8.306831359863281,15.913345336914062,8.306831359863281,129.1820831298828,222.13291931152344,0.0,0.9923099875450134,-0.07247282564640045,1.6399458646774292,8173.83154296875,22.116649627685547,1.4584438800811768,1.4531917572021484
