FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM,CONTAMINATED
icdg10v5q_noramp.fits,F160W,10,129.0,0,9,2013-10-16,21:09:07,14.970785,16.021827697753906,8.31561279296875,129.10791015625,222.31463623046875,139.0,1.0072835683822632,-0.006004477385431528,2.5986392498016357,7884.86083984375,38.11852264404297,1.3947923183441162,1.5846607685089111,0.0
icdg10v6q_noramp.fits,F160W,10,129.0,0,9,2013-10-16,21:09:40,14.970785,16.05780029296875,8.353355407714844,129.1150360107422,222.3356170654297,26.0,1.0202596187591553,-0.03985157236456871,2.5379538536071777,7938.068359375,33.954673767089844,1.4107141494750977,1.6170443296432495,0.0
icdg10v7q_noramp.fits,F160W,10,129.0,0,9,2013-10-16,21:10:13,14.970785,16.046096801757812,8.338722229003906,129.1029052734375,222.32162475585938,31.0,1.0226982831954956,-0.16954512894153595,2.4380669593811035,7899.7294921875,34.15217590332031,1.3906656503677368,1.5937007665634155,0.0
icdg10v8q_noramp.fits,F160W,10,129.0,0,9,2013-10-16,21:10:46,14.970785,16.047813415527344,8.340530395507812,129.1202850341797,222.32411193847656,31.0,1.0216423273086548,-0.12277020514011383,2.3852455615997314,7910.689453125,34.06599426269531,1.4029450416564941,1.6013582944869995,0.0
icdg10v9q_noramp.fits,F125W,10,129.0,0,10,2013-10-16,21:11:25,29.663755,15.966278076171875,8.299346923828125,129.18724060058594,222.13955688476562,27.0,1.021280288696289,-0.0962536484003067,1.5381312370300293,7693.64990234375,23.10329818725586,1.4599987268447876,1.4606339931488037,0.0
icdg10vaq_noramp.fits,F125W,10,129.0,0,10,2013-10-16,21:12:13,29.663755,16.000328063964844,8.332290649414062,129.18402099609375,222.14791870117188,27.0,1.0212993621826172,-0.07709471881389618,1.5251762866973877,7706.25,23.07740020751953,1.4594351053237915,1.464784860610962,0.0
icdg10vbq_noramp.fits,F125W,10,129.0,0,10,2013-10-16,21:13:01,29.663755,15.98260498046875,8.315437316894531,129.1815643310547,222.1443328857422,27.0,1.020312786102295,-0.04874826595187187,1.5401592254638672,7707.10302734375,25.111997604370117,1.4650862216949463,1.4725351333618164,0.0
icdg10vcq_noramp.fits,F125W,10,129.0,0,10,2013-10-16,21:13:49,29.663755,15.974472045898438,8.314208984375,129.1844024658203,222.14132690429688,27.0,1.0222452878952026,-0.0809195265173912,1.5612620115280151,7706.9462890625,28.564424514770508,1.4566859006881714,1.452702522277832,0.0
icdg10vdq_noramp.fits,F160W,10,129.0,0,11,2013-10-16,21:14:43,14.970785,16.007232666015625,8.306907653808594,129.1111602783203,222.3380889892578,140.0,1.0085943937301636,-0.1095622330904007,2.6009631156921387,7940.95361328125,38.85953140258789,1.4020047187805176,1.6161344051361084,0.0
icdg10veq_noramp.fits,F160W,10,129.0,0,11,2013-10-16,21:15:16,14.970785,16.059288024902344,8.348991394042969,129.11676025390625,222.34085083007812,26.0,1.0217905044555664,-0.010016762651503086,2.5784335136413574,7891.72607421875,33.985591888427734,1.4000720977783203,1.6263939142227173,0.0
icdg10vfq_noramp.fits,F160W,10,129.0,0,11,2013-10-16,21:15:49,14.970785,16.055252075195312,8.351493835449219,129.11831665039062,222.3446807861328,26.0,1.0205174684524536,-0.04308381304144859,2.5569629669189453,7913.4013671875,35.222328186035156,1.4148436784744263,1.6322038173675537,0.0
icdg10vgq_noramp.fits,F160W,10,129.0,0,11,2013-10-16,21:16:22,14.970785,16.051292419433594,8.36114501953125,129.09640502929688,222.3114776611328,31.0,1.0223119258880615,-0.08131223917007446,2.3953118324279785,7883.24267578125,36.92987060546875,1.4130055904388428,1.6105648279190063,0.0
icdg10vhq_noramp.fits,F160W,10,129.0,0,11,2013-10-16,21:16:55,14.970785,16.035926818847656,8.364593505859375,129.10679626464844,222.34378051757812,31.0,1.0257891416549683,-0.14331282675266266,2.3761188983917236,7914.24462890625,36.516510009765625,1.4077502489089966,1.6433790922164917,0.0
icdg10viq_noramp.fits,F125W,10,129.0,0,12,2013-10-16,21:17:34,29.663755,15.95965576171875,8.291435241699219,129.17837524414062,222.15267944335938,134.0,1.002760648727417,0.045996200293302536,1.7625460624694824,7682.64794921875,24.92477035522461,1.4587355852127075,1.467389702796936,0.0
icdg10vjq_noramp.fits,F125W,10,129.0,0,12,2013-10-16,21:18:22,29.663755,15.957565307617188,8.315444946289062,129.1812744140625,222.15240478515625,27.0,1.021756887435913,-0.06392346322536469,1.5399798154830933,7746.2939453125,24.574546813964844,1.453110933303833,1.4720096588134766,0.0
icdg10vkq_noramp.fits,F125W,10,129.0,0,12,2013-10-16,21:19:10,29.663755,16.00470733642578,8.331680297851562,129.18795776367188,222.15512084960938,27.0,1.0196144580841064,-0.03931896761059761,1.5504006147384644,7725.0029296875,27.97316551208496,1.4767708778381348,1.4812917709350586,0.0
icdg10vlq_noramp.fits,F125W,10,129.0,0,12,2013-10-16,21:19:58,29.663755,15.985954284667969,8.337532043457031,129.1901397705078,222.1654815673828,27.0,1.0224707126617432,-0.040853749960660934,1.5306118726730347,7692.49609375,24.063814163208008,1.4747679233551025,1.4840894937515259,0.0
icdg11vnq_noramp.fits,F125W,11,101.0,0,0,2013-10-16,22:16:17,29.663755,0.04080963134765625,-0.0735626220703125,94.81591033935547,208.05996704101562,96.0,1.017841100692749,-0.2405531257390976,1.8727468252182007,7708.7919921875,33.43686294555664,1.3291864395141602,1.3453965187072754,0.0
icdg11voq_noramp.fits,F125W,11,101.0,0,0,2013-10-16,22:17:05,29.663755,0.0398101806640625,-0.0626068115234375,94.81678009033203,208.06471252441406,96.0,1.020141839981079,-0.2651309072971344,1.8576568365097046,7710.81591796875,33.48355484008789,1.3186758756637573,1.3431190252304077,0.0
icdg11vpq_noramp.fits,F125W,11,101.0,0,0,2013-10-16,22:17:53,29.663755,0.01751708984375,-0.070831298828125,94.81968688964844,208.0578155517578,96.0,1.0194953680038452,-0.21599987149238586,1.8809739351272583,7760.18994140625,33.66339111328125,1.320343017578125,1.34499192237854,0.0
icdg11vqq_noramp.fits,F125W,11,101.0,0,0,2013-10-16,22:18:41,29.663755,0.0338134765625,-0.0653228759765625,94.81941986083984,208.0609130859375,96.0,1.021317720413208,-0.24604250490665436,1.8670367002487183,7722.193359375,33.52074432373047,1.3109198808670044,1.3391985893249512,0.0
icdg11vrq_noramp.fits,F160W,11,101.0,0,1,2013-10-16,22:19:35,14.970785,0.0682373046875,-0.0108489990234375,94.71168518066406,208.2103729248047,101.0,1.0195133686065674,-0.15454672276973724,2.4268364906311035,7959.81005859375,44.44036865234375,1.530877947807312,1.4991775751113892,0.0
icdg11vsq_noramp.fits,F160W,11,101.0,0,1,2013-10-16,22:20:08,14.970785,0.06982421875,-0.015960693359375,94.71508026123047,208.2176971435547,101.0,1.0184684991836548,-0.21202105283737183,2.454551935195923,7931.91259765625,44.44701385498047,1.5277944803237915,1.4918252229690552,0.0
icdg11vtq_noramp.fits,F160W,11,101.0,0,1,2013-10-16,22:20:41,14.970785,0.06822967529296875,-0.0030059814453125,94.7137451171875,208.21189880371094,101.0,1.0222002267837524,-0.26972073316574097,2.448714017868042,7978.59375,44.56861114501953,1.5227552652359009,1.492767095565796,0.0
icdg11vuq_noramp.fits,F160W,11,101.0,0,1,2013-10-16,22:21:14,14.970785,0.07745361328125,-0.0194549560546875,94.70779418945312,208.20648193359375,101.0,1.0180270671844482,-0.26658326387405396,2.3753767013549805,7975.0283203125,44.344295501708984,1.5321996212005615,1.4904272556304932,0.0
icdg11vvq_noramp.fits,F160W,11,101.0,0,1,2013-10-16,22:21:47,14.970785,0.07314300537109375,-0.015960693359375,94.72149658203125,208.20550537109375,101.0,1.02107834815979,-0.23208589851856232,2.440753221511841,7928.2568359375,44.48317337036133,1.5257662534713745,1.4893380403518677,0.0
icdg11vwq_noramp.fits,F125W,11,101.0,0,2,2013-10-16,22:22:26,29.663755,0.04209136962890625,-0.0713348388671875,94.81756591796875,208.0617218017578,96.0,1.0220122337341309,-0.29596760869026184,1.831652283668518,7738.888671875,33.57813262939453,1.3101199865341187,1.342634916305542,0.0
icdg11vxq_noramp.fits,F125W,11,101.0,0,2,2013-10-16,22:23:14,29.663755,0.04819488525390625,-0.0413818359375,94.81867218017578,208.06321716308594,96.0,1.0231730937957764,-0.2997664213180542,1.8504160642623901,7765.888671875,32.59275436401367,1.3100672960281372,1.340793490409851,0.0
icdg11vyq_noramp.fits,F125W,11,101.0,0,2,2013-10-16,22:24:02,29.663755,0.043182373046875,-0.0615997314453125,94.82190704345703,208.0572967529297,96.0,1.0231114625930786,-0.30956336855888367,1.8845757246017456,7750.9599609375,32.97720718383789,1.3134514093399048,1.343924880027771,0.0
icdg11vzq_noramp.fits,F125W,11,101.0,0,2,2013-10-16,22:24:50,29.663755,0.038482666015625,-0.066131591796875,94.82380676269531,208.060791015625,96.0,1.0242259502410889,-0.2899326980113983,1.8879562616348267,7744.775390625,32.81431579589844,1.3078055381774902,1.3375295400619507,0.0
icdg11w0q_noramp.fits,F160W,11,101.0,0,3,2013-10-16,22:25:44,14.970785,0.07682037353515625,-0.0148773193359375,94.72356414794922,208.2130889892578,101.0,1.0217682123184204,-0.31696778535842896,2.4294257164001465,7960.552734375,44.49882125854492,1.509559154510498,1.4988269805908203,0.0
icdg11w1q_noramp.fits,F160W,11,101.0,0,3,2013-10-16,22:26:17,14.970785,0.0593719482421875,-0.0107879638671875,94.72176361083984,208.21177673339844,101.0,1.0212477445602417,-0.2815675139427185,2.3796632289886475,7961.931640625,44.41963577270508,1.5122720003128052,1.4909898042678833,0.0
icdg11w2q_noramp.fits,F160W,11,101.0,0,3,2013-10-16,22:26:50,14.970785,0.0745391845703125,-0.0093841552734375,94.72972106933594,208.21144104003906,101.0,1.0201051235198975,-0.2676785886287689,2.3725433349609375,7978.66064453125,44.39442825317383,1.4987701177597046,1.4893896579742432,0.0
icdg11w3q_noramp.fits,F160W,11,101.0,0,3,2013-10-16,22:27:23,14.970785,0.07492828369140625,-0.01580810546875,94.71699523925781,208.21124267578125,101.0,1.0239696502685547,-0.28618142008781433,2.413184642791748,7980.77685546875,44.551788330078125,1.5097618103027344,1.493828535079956,0.0
icdg11w4q_noramp.fits,F160W,11,101.0,0,3,2013-10-16,22:27:56,14.970785,0.06707000732421875,0.00617218017578125,94.72057342529297,208.21253967285156,101.0,1.0190342664718628,-0.29262757301330566,2.451131582260132,7958.576171875,45.11199951171875,1.5172232389450073,1.4978578090667725,0.0
icdg11w5q_noramp.fits,F125W,11,101.0,0,4,2013-10-16,22:28:35,29.663755,0.0403594970703125,-0.05865478515625,94.8261489868164,208.06121826171875,96.0,1.0238710641860962,-0.3031115233898163,1.8828654289245605,7689.00830078125,33.68779754638672,1.3117046356201172,1.3455179929733276,0.0
icdg11w6q_noramp.fits,F125W,11,101.0,0,4,2013-10-16,22:29:23,29.663755,0.06156158447265625,-0.0715789794921875,94.82467651367188,208.0606689453125,106.0,1.0252587795257568,-0.24135103821754456,1.8099404573440552,7722.27392578125,33.85921096801758,1.3073562383651733,1.337810754776001,0.0
icdg11w7q_noramp.fits,F125W,11,101.0,0,4,2013-10-16,22:30:11,29.663755,0.0285186767578125,-0.0734405517578125,94.82614135742188,208.0556640625,96.0,1.024193286895752,-0.3068241775035858,1.873591661453247,7755.97265625,33.75547790527344,1.3009265661239624,1.3384625911712646,0.0
icdg11w8q_noramp.fits,F125W,11,101.0,0,4,2013-10-16,22:30:59,29.663755,0.0446929931640625,-0.0915679931640625,94.82775115966797,208.05508422851562,106.0,1.026018738746643,-0.2825791835784912,1.7606335878372192,7728.7373046875,33.52298355102539,1.3050847053527832,1.3372477293014526,0.0
icdg11w9q_noramp.fits,F160W,11,101.0,0,5,2013-10-16,22:31:53,14.970785,0.077484130859375,-0.0186004638671875,94.73100280761719,208.2108612060547,101.0,1.0225927829742432,-0.30185896158218384,2.4206085205078125,7955.5576171875,45.2430534362793,1.4931241273880005,1.4853346347808838,0.0
icdg11waq_noramp.fits,F160W,11,101.0,0,5,2013-10-16,22:32:26,14.970785,0.075103759765625,-0.004486083984375,94.73140716552734,208.21536254882812,101.0,1.0224367380142212,-0.3006734848022461,2.384550094604492,7971.7255859375,44.45624923706055,1.5020328760147095,1.4906394481658936,0.0
icdg11wbq_noramp.fits,F160W,11,101.0,0,5,2013-10-16,22:32:59,14.970785,0.0922088623046875,-0.023956298828125,94.72785949707031,208.21450805664062,101.0,1.0226000547409058,-0.27899104356765747,2.416837215423584,7977.0693359375,44.51427459716797,1.495801329612732,1.5001038312911987,0.0
icdg11wcq_noramp.fits,F160W,11,101.0,0,5,2013-10-16,22:33:32,14.970785,0.07602691650390625,-0.015228271484375,94.7318115234375,208.21145629882812,101.0,1.0224894285202026,-0.26841676235198975,2.4213953018188477,7964.1025390625,44.518009185791016,1.5048586130142212,1.488094687461853,0.0
icdg11wdq_noramp.fits,F160W,11,101.0,0,5,2013-10-16,22:34:05,14.970785,0.08223724365234375,-0.0330810546875,94.7306137084961,208.2115020751953,99.0,1.0223519802093506,-0.3020315170288086,2.4493794441223145,7951.7646484375,45.2829704284668,1.500032663345337,1.4890503883361816,0.0
icdg11weq_noramp.fits,F125W,11,101.0,0,6,2013-10-16,22:34:44,29.663755,0.0560302734375,-0.072784423828125,94.82853698730469,208.06044006347656,112.0,1.0251740217208862,-0.28049787878990173,1.7902535200119019,7755.93505859375,33.671756744384766,1.3050588369369507,1.344864845275879,0.0
icdg11wfq_noramp.fits,F125W,11,101.0,0,6,2013-10-16,22:35:32,29.663755,0.05013275146484375,-0.054290771484375,94.83885955810547,208.05520629882812,112.0,1.0248913764953613,-0.26559993624687195,1.8328604698181152,7746.58447265625,33.219886779785156,1.2954744100570679,1.339181661605835,0.0
icdg11wgq_noramp.fits,F125W,11,101.0,0,6,2013-10-16,22:36:20,29.663755,0.0386505126953125,0.017303466796875,94.81526184082031,208.09213256835938,70.0,1.0213545560836792,-0.1958152949810028,1.827406644821167,7746.1337890625,25.232946395874023,1.3175573348999023,1.3604499101638794,0.0
icdg11whq_noramp.fits,F125W,11,101.0,0,6,2013-10-16,22:37:08,29.663755,0.0636138916015625,-0.053619384765625,94.84879302978516,208.05429077148438,112.0,1.0249730348587036,-0.3005552589893341,1.818142056465149,7715.99658203125,33.088687896728516,1.2885890007019043,1.3317564725875854,0.0
icdg11wiq_noramp.fits,F160W,11,101.0,0,7,2013-10-16,22:38:02,14.970785,0.082672119140625,0.02017974853515625,94.73545837402344,208.22377014160156,101.0,1.0245866775512695,-0.3543373942375183,2.418379068374634,7917.52783203125,44.52023696899414,1.4923784732818604,1.5000169277191162,0.0
icdg11wjq_noramp.fits,F160W,11,101.0,0,7,2013-10-16,22:38:35,14.970785,0.1085662841796875,0.0023040771484375,94.74346923828125,208.2265167236328,101.0,1.0240942239761353,-0.36692923307418823,2.368123769760132,7988.92333984375,44.17374038696289,1.4881409406661987,1.4873378276824951,0.0
icdg11wkq_noramp.fits,F160W,11,101.0,0,7,2013-10-16,22:39:08,14.970785,0.09156036376953125,0.0050811767578125,94.7424545288086,208.231689453125,101.0,1.0236573219299316,-0.36361706256866455,2.400404930114746,7941.07763671875,44.15139389038086,1.4988170862197876,1.5065408945083618,0.0
icdg11wlq_noramp.fits,F160W,11,101.0,0,7,2013-10-16,22:39:41,14.970785,0.10894012451171875,0.012725830078125,94.74554443359375,208.2315673828125,101.0,1.0214447975158691,-0.34840327501296997,2.395542860031128,7967.1162109375,44.12632751464844,1.488296627998352,1.5015487670898438,0.0
icdg11wmq_noramp.fits,F160W,11,101.0,0,7,2013-10-16,22:40:14,14.970785,0.0974578857421875,0.0167694091796875,94.74481964111328,208.23236083984375,101.0,1.0217018127441406,-0.348753422498703,2.403820753097534,7972.2705078125,44.14241409301758,1.493434190750122,1.5127919912338257,0.0
icdg11wnq_noramp.fits,F125W,11,101.0,0,8,2013-10-16,22:40:53,29.663755,0.0885009765625,-0.0380096435546875,94.85228729248047,208.0753936767578,106.0,1.0235540866851807,-0.2648836672306061,1.8288487195968628,7728.01171875,33.74597930908203,1.2978153228759766,1.3371055126190186,0.0
icdg11woq_noramp.fits,F125W,11,101.0,0,8,2013-10-16,22:41:41,29.663755,0.08638763427734375,0.005828857421875,94.84495544433594,208.0791473388672,106.0,1.0253159999847412,-0.2713281214237213,1.772871971130371,7757.7919921875,33.62346649169922,1.2973997592926025,1.3404271602630615,0.0
