file name,filter,orbit,Pos Angle,dither,exposure set,obs date,obs time,exposure time
icdg10v2q_flt.fits,F125W,10,129.000198,0,8,2013-10-16,21:06:52,29.663755
icdg10v3q_flt.fits,F125W,10,129.000198,0,8,2013-10-16,21:07:40,29.663755
icdg10v4q_flt.fits,F160W,10,129.000198,0,9,2013-10-16,21:08:34,14.970785
icdg10v5q_flt.fits,F160W,10,129.000198,0,9,2013-10-16,21:09:07,14.970785
icdg10v6q_flt.fits,F160W,10,129.000198,0,9,2013-10-16,21:09:40,14.970785
icdg10v7q_flt.fits,F160W,10,129.000198,0,9,2013-10-16,21:10:13,14.970785
icdg10v8q_flt.fits,F160W,10,129.000198,0,9,2013-10-16,21:10:46,14.970785
icdg10v9q_flt.fits,F125W,10,129.000198,0,10,2013-10-16,21:11:25,29.663755
icdg10vaq_flt.fits,F125W,10,129.000198,0,10,2013-10-16,21:12:13,29.663755
icdg10vbq_flt.fits,F125W,10,129.000198,0,10,2013-10-16,21:13:01,29.663755
icdg10vcq_flt.fits,F125W,10,129.000198,0,10,2013-10-16,21:13:49,29.663755
icdg10vdq_flt.fits,F160W,10,129.000198,0,11,2013-10-16,21:14:43,14.970785
icdg10veq_flt.fits,F160W,10,129.000198,0,11,2013-10-16,21:15:16,14.970785
icdg10vfq_flt.fits,F160W,10,129.000198,0,11,2013-10-16,21:15:49,14.970785
icdg10vgq_flt.fits,F160W,10,129.000198,0,11,2013-10-16,21:16:22,14.970785
icdg10vhq_flt.fits,F160W,10,129.000198,0,11,2013-10-16,21:16:55,14.970785
icdg10viq_flt.fits,F125W,10,129.000198,0,12,2013-10-16,21:17:34,29.663755
icdg10vjq_flt.fits,F125W,10,129.000198,0,12,2013-10-16,21:18:22,29.663755
icdg10vkq_flt.fits,F125W,10,129.000198,0,12,2013-10-16,21:19:10,29.663755
icdg10vlq_flt.fits,F125W,10,129.000198,0,12,2013-10-16,21:19:58,29.663755
icdg11vnq_flt.fits,F125W,11,101.000504,0,0,2013-10-16,22:16:17,29.663755
icdg11voq_flt.fits,F125W,11,101.000504,0,0,2013-10-16,22:17:05,29.663755
icdg11vpq_flt.fits,F125W,11,101.000504,0,0,2013-10-16,22:17:53,29.663755
icdg11vqq_flt.fits,F125W,11,101.000504,0,0,2013-10-16,22:18:41,29.663755
icdg11vrq_flt.fits,F160W,11,101.000504,0,1,2013-10-16,22:19:35,14.970785
icdg11vsq_flt.fits,F160W,11,101.000504,0,1,2013-10-16,22:20:08,14.970785
icdg11vtq_flt.fits,F160W,11,101.000504,0,1,2013-10-16,22:20:41,14.970785
icdg11vuq_flt.fits,F160W,11,101.000504,0,1,2013-10-16,22:21:14,14.970785
icdg11vvq_flt.fits,F160W,11,101.000504,0,1,2013-10-16,22:21:47,14.970785
icdg11vwq_flt.fits,F125W,11,101.000504,0,2,2013-10-16,22:22:26,29.663755
icdg11vxq_flt.fits,F125W,11,101.000504,0,2,2013-10-16,22:23:14,29.663755
icdg11vyq_flt.fits,F125W,11,101.000504,0,2,2013-10-16,22:24:02,29.663755
icdg11vzq_flt.fits,F125W,11,101.000504,0,2,2013-10-16,22:24:50,29.663755
icdg11w0q_flt.fits,F160W,11,101.000504,0,3,2013-10-16,22:25:44,14.970785
icdg11w1q_flt.fits,F160W,11,101.000504,0,3,2013-10-16,22:26:17,14.970785
icdg11w2q_flt.fits,F160W,11,101.000504,0,3,2013-10-16,22:26:50,14.970785
icdg11w3q_flt.fits,F160W,11,101.000504,0,3,2013-10-16,22:27:23,14.970785
