FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX_FIT,X_FIT,Y_FIT,SKYY_FIT
icdg08r2q_noramp.fits,F125W,8,129.0,1,2,2013-10-16,17:38:33,29.663755,26.030372619628906,8.283111572265625,139.32106018066406,222.09591674804688,152.0,1.0099754333496094,-0.3063528537750244,1.8345664739608765,8858.5380859375,13.255226135253906,13.099987030029297,-0.3694866895675659
icdg08r3q_noramp.fits,F160W,8,129.0,1,3,2013-10-16,17:39:27,14.970785,26.084182739257812,8.2607421875,139.2185821533203,222.26617431640625,157.0,1.0007991790771484,-0.017439693212509155,2.465691566467285,8779.0546875,13.22402286529541,13.312984466552734,0.624729573726654
icdg08r4q_noramp.fits,F160W,8,129.0,1,3,2013-10-16,17:40:00,14.970785,26.096214294433594,8.274070739746094,139.21075439453125,222.26483154296875,157.0,1.0028878450393677,-0.06739580631256104,2.498241901397705,8713.720703125,13.217663764953613,13.305343627929688,0.44597673416137695
icdg08r5q_noramp.fits,F160W,8,129.0,1,3,2013-10-16,17:40:33,14.970785,26.07513427734375,8.260971069335938,139.21884155273438,222.26187133789062,157.0,1.0044523477554321,-0.09452328830957413,2.4553356170654297,8737.552734375,13.228562355041504,13.298016548156738,0.9662984013557434
icdg08r6q_noramp.fits,F160W,8,129.0,1,3,2013-10-16,17:41:06,14.970785,26.083526611328125,8.265464782714844,139.21279907226562,222.26364135742188,157.0,1.0030893087387085,-0.05370363965630531,2.453444480895996,8513.48828125,13.222229957580566,13.319047927856445,0.9324027299880981
icdg08r7q_noramp.fits,F160W,8,129.0,1,3,2013-10-16,17:41:39,14.970785,26.063201904296875,8.265830993652344,139.21414184570312,222.26876831054688,120.0,1.0088603496551514,-0.22228768467903137,2.4953043460845947,8730.6640625,13.222183227539062,13.301228523254395,0.6575308442115784
icdg08r8q_noramp.fits,F125W,8,129.0,2,4,2013-10-16,17:42:55,29.663755,15.924453735351562,19.528427124023438,129.12879943847656,233.46485900878906,280.0,1.0027302503585815,-0.3067155182361603,1.806532859802246,8750.6689453125,13.1131591796875,13.461224555969238,-0.595758855342865
icdg08r9q_noramp.fits,F125W,8,129.0,2,4,2013-10-16,17:43:43,29.663755,15.952667236328125,19.568199157714844,129.13455200195312,233.47305297851562,253.0,1.0060771703720093,-0.2762986421585083,1.8163602352142334,8682.623046875,13.121257781982422,13.465580940246582,-0.29446765780448914
icdg08raq_noramp.fits,F125W,8,129.0,2,4,2013-10-16,17:44:31,29.663755,15.933090209960938,19.545692443847656,129.1342010498047,233.47308349609375,280.0,1.0028196573257446,-0.2633451521396637,1.8420854806900024,8763.2353515625,13.119028091430664,13.46475887298584,-0.41555485129356384
icdg08rbq_noramp.fits,F125W,8,129.0,2,4,2013-10-16,17:45:19,29.663755,15.926033020019531,19.54962158203125,129.13526916503906,233.4733123779297,280.0,1.0024970769882202,-0.31090056896209717,1.8269765377044678,8746.365234375,13.118927955627441,13.464200973510742,-0.5821117162704468
icdg08rcq_noramp.fits,F160W,8,129.0,2,5,2013-10-16,17:46:13,14.970785,15.981048583984375,19.665863037109375,129.0802459716797,233.69717407226562,7.0,1.0270992517471313,-0.18158510327339172,2.4335687160491943,8259.4130859375,13.060368537902832,13.565862655639648,0.9237421154975891
icdg08rdq_noramp.fits,F160W,8,129.0,2,5,2013-10-16,17:46:46,14.970785,15.990188598632812,19.660377502441406,129.08697509765625,233.69390869140625,7.0,1.024987816810608,-0.24269676208496094,2.440828800201416,8280.61328125,13.069811820983887,13.570314407348633,0.9643991589546204
icdg08req_noramp.fits,F160W,8,129.0,2,5,2013-10-16,17:47:19,14.970785,15.989585876464844,19.673751831054688,129.08187866210938,233.69677734375,8.0,1.0213816165924072,-0.0986003503203392,2.3716068267822266,8363.0458984375,13.061393737792969,13.572159767150879,0.9514603614807129
icdg08rfq_noramp.fits,F160W,8,129.0,2,5,2013-10-16,17:47:52,14.970785,15.976715087890625,19.66838836669922,129.0867156982422,233.69570922851562,7.0,1.0257925987243652,-0.16577410697937012,2.370237112045288,8228.3359375,13.069483757019043,13.565497398376465,0.7949268817901611
icdg08rgq_noramp.fits,F160W,8,129.0,2,5,2013-10-16,17:48:25,14.970785,15.992660522460938,19.682350158691406,129.08570861816406,233.70619201660156,7.0,1.028209924697876,-0.2499479204416275,2.42085599899292,8274.896484375,13.068668365478516,13.570713996887207,1.1396000385284424
icdg08rhq_noramp.fits,F125W,8,129.0,3,6,2013-10-16,17:49:40,29.663755,26.04907989501953,19.563430786132812,139.2890625,233.45936584472656,280.0,1.001707673072815,-0.3841499388217926,1.7896308898925781,8684.4423828125,13.25745964050293,13.459149360656738,-0.2834742069244385
icdg08riq_noramp.fits,F125W,8,129.0,3,6,2013-10-16,17:50:28,29.663755,26.0712890625,19.52564239501953,139.32144165039062,233.4300079345703,280.0,1.0067274570465088,-0.4313845634460449,1.7880322933197021,8705.43359375,13.281882286071777,13.445271492004395,-0.37602707743644714
icdg08rjq_noramp.fits,F125W,8,129.0,3,6,2013-10-16,17:51:16,29.663755,26.062530517578125,19.560409545898438,139.3130340576172,233.4423828125,280.0,1.0092458724975586,-0.4200415015220642,1.7850921154022217,8660.251953125,13.271126747131348,13.459477424621582,-0.511381208896637
icdg08rkq_noramp.fits,F125W,8,129.0,3,6,2013-10-16,17:52:04,29.663755,26.05206298828125,19.556785583496094,139.31272888183594,233.44410705566406,280.0,1.0060944557189941,-0.3822929561138153,1.8086837530136108,8760.5087890625,13.261940956115723,13.460413932800293,-0.4326907992362976
