Object,    Opt SpT,    NIR SpT, SpT Refs,  flag,RA (deg),Dec (deg),Epoch (JD),plx,eplx, PlxRef,Ymag,eYmag ,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,Lmag,eLmag,Mmag,eMmag,J2mag,eJ2mag,H2mag, eH2mag, K2mag,eK2mag, MKO+2MA,SS Refs,      sysID bin," compsep("")  HS",  HST/AO,HST AO Refs,
LP_335-12,   M6.5,   null,213,    null,279.88785,29.87123,2451638.95,79.3,2,160,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,11.011,  0.023 0,10.383, 0.028 0,10.005, 0.021 0,57,167,1,     NaN,  null,   null,
LP_44-334,   M6.5,   null,215,    null,280.00994,72.68167,2451319.96,59.3,2.2,160,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,10.974,  0.020 0,10.379, 0.017 0,10.006, 0.020 0,57,168,1,     NaN,  null,   null,
2MASSW_J1841086+311727,   L4p,   null,129,    null,280.28589,31.2911,2450924.94,23.57,1.89,255,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,16.158,  0.091 0,14.971, 0.066 0,14.22, 0.070 0,57,287,1,     NaN,  W,"   14,93",
CE_507,   M6,   null,49,    null,280.80157,-33.37538,2451620.9,65.51,2.51,49,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,10.732,  0.032 0,10.14, 0.030 0,9.829, 0.024 0,57,114,1,     NaN,  null,   null,
LHS_3406,   M8,   M5.5,"  52,83",    over-L,280.84222,40.67249,2451289,70.7,0.8,193,                 NaN,   NaN 9,11.31, 0.030 0,10.7, 0.030 0,10.35,  0.030 0,9.78, 0.040 0,     NaN,   NaN 9,11.313,  0.022 0,10.688, 0.021 0,10.308, 0.018 0,57143,195,1,     NaN,  null,   null,
SCR_J1845-$6357A,   M8.5,   M8.5,110119,    null,281.27257,-63.96321,2451693.69,259.45,1.11,111,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,9.58,  0.023 0,8.989, 0.027 0,8.517, 0.020 0,57119,638,2,     NaN,  V,10119,
SCR_J1845-$6357B,   null,   T6,110119,    null,281.27257,-63.96321,2451693.69,259.45,1.11,111,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,13.26,  0.025 0,13.189, 0.029 0,13.687, 0.022 0,57119,638,2,     NaN,  V,10119,
2MASSI_J1847034+552243A,   null,   M6,68,    null,281.76477,55.37881,2454314.86,29.8,1.1,68,                 NaN,   NaN 9,12.513, 0.045 1,11.927, 0.077 1,11.49,  0.022 1,    NaN,   NaN 9,     NaN,   NaN 9,12.559,  0.045 1,11.897, 0.076 1,11.514, 0.022 1,"  57,68,137",631,2,     NaN,  SLK,"   17,137,",236
2MASSI_J1847034+552243B,   null,   M7,68,    null,281.76477,55.37881,2454314.86,29.8,1.1,68,                 NaN,   NaN 9,12.753, 0.054 1,12.207, 0.098 1,11.79,  0.023 1,    NaN,   NaN 9,     NaN,   NaN 9,12.799,  0.054 1,12.178, 0.098 1,11.814, 0.023 1,"  57,68,137",631,2,     NaN,  SLK,"   17,137,",236
LHS_3421B,   null,   null,  null,    null,283.24072,-57.13726,2451628.86,38.6,4.1,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,12.028,  0.024 0,11.425, 0.022 0,11.059, 0.019 0,57,363,1,58,  null,   null,
PZ_Tel~B,   null,   null,  null,"    young,bP",ic          283.27446,-50.18055,2451836.52,19.42,0.98,253,                 NaN,   NaN 9,12.26, 0.140 0,11.87, 0.100 0,11.42,  0.150 0,    NaN,   NaN 9,     NaN,   NaN 9,12.26,  0.140 0,11.87, 0.100 0,11.42, 0.150 0,11,261,1,0.33,  G,11,
vB_10,   M8,   null,106,    null,289.24009,5.1506,2451390.72,170.1,0.8,193,10.62, 0.056 1,9.864, 0.025 1,9.261, 0.026 1,8.736,  0.022 1,    NaN,   NaN 9,     NaN,   NaN 9,9.908,  0.025 0,9.226, 0.026 0,8.765, 0.022 0,"  57,68",196,1,75,  N,101,
HR_7329B,   M7.5,   M7.5,103175,"    young,bP",ic          290.71342,-54.42398,2451823.51,20.74,0.21,253,                 NaN,   NaN 9,    NaN,   NaN 9,11.93, 0.060 0,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,175,262,1,4.17,  N,175,
Gl_758B,   null,   null,  null,    null,290.89177,33.22197,2451658.93,63.45,0.35,253,                 NaN,   NaN 9,18.568, 0.200 0,19.148, 0.200 0,    NaN,    NaN 9,15.988, 0.100 0,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,115,263,1,1.9,  S,245,
2MASS_J19303829-$1335083,   M6.0,   null,233,    young,292.65958,-13.58566,2450947.81,36.1,1.5,234,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,11.53,  0.022 0,10.989, 0.022 0,10.648, 0.019 0,57,372,1,     NaN,  null,   null,
SIPS_J1936-$5502,   L5:,   null,219,    null,294.00782,-55.04228,2451412.57,66.3,5.4,71,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,14.486,  0.039 0,13.628, 0.035 0,13.046, 0.032 0,57,348,1,     NaN,  null,   null,
GJ_1245B,   M6,   M6,83124,    null,298.47954,44.41529,2450977.96,220.2,1.5,104,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,8.275,  0.026 0,7.728, 0.031 0,7.387, 0.018 0,57,159,1,8,  W,232,
HR_7672B,   null,   L4::,161,    null,300.97988,17.08446,2451683.9,56.28,0.35,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,14.04, 0.140 0,13.04, 0.100 0,12161,264,1,0.79,  GK,161,
LSR_J2036+5059,   sdM7.5,   null,27158,    subd,309.09022,51.00144,2451702.81,21.6,1.26,224,14.088, 0.058 1,13.562, 0.029 1,13.185, 0.036 1,12.912,  0.033 1,    NaN,   NaN 9,     NaN,   NaN 9,13.611,  0.029 0,13.16, 0.036 0,12.936, 0.033 0,"  57,68",205,1,     NaN,  A,221,
Gl_802B,   null,   null,  null,    null,310.83004,55.34781,2451351.9,63.5,1.3,114,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,14.75,  0.270 0,14.13, 0.090 0,13.61, 0.080 0,114,295,1,0.093,  KP,114205,
SDSS_J204749.61-$071818.3,   null,   T0:,25,    null,311.95666,-7.30507,2451815.1,49.9,7.9,71,17.731, 0.058 1,16.7, 0.030 0,15.88, 0.030 0,15.34,  0.030 0,13.8, 0.050 0,     NaN,   NaN 9,16.82,  0.030 1,15.825, 0.030 1,15.341, 0.030 1,"  68,97,135",349,1,     NaN,  null,   null,
SDSS_J205235.31-$160929.8A,   null,   L8.5:.,68,    null,313.14767,-16.15803,2454314.95,33.9,0.8,68,                 NaN,   NaN 9,16.793, 0.036 0,16.05, 0.042 0,15.409,  0.041 0,    NaN,   NaN 9,     NaN,   NaN 9,17.062,  0.119 1,16.014, 0.119 1,15.545, 0.152 1,"  44,57,68",632,2,     NaN,  NV,242,
SDSS_J205235.31-$160929.8B,   null,   T1.5,68,    null,313.14767,-16.15803,2454314.95,33.9,0.8,68,                 NaN,   NaN 9,16.793, 0.036 0,16.38, 0.050 0,16.259,  0.069 0,    NaN,   NaN 9,     NaN,   NaN 9,17.112,  0.120 1,16.345, 0.122 1,16.355, 0.162 1,"  44,57,68",632,2,     NaN,  NV,242,
2MASS_J20530910-$0133039,   M5.6,   null,233,    young,313.28792,-1.55111,2451076.51,55,2,234,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,10.659,  0.022 0,10.108, 0.023 0,9.793, 0.021 0,57,373,1,     NaN,  null,   null,
WISEP_J205628.90+145953.3,   null,   Y0,56,    null,314.12055,14.99824,2455540.53,144.3,23.4,69,19.77, 0.060 0,19.43, 0.040 0,19.96, 0.040 0,20.01,  0.060 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,153,391,1,     NaN,  I,133,
DENIS-P_J205754.1-$025229,   L1.5,   L1.5,51120,    null,314.47539,-2.87507,2451076.56,70.1,3.7,71,14.149, 0.055 1,13.049, 0.024 1,12.319, 0.024 1,11.697,  0.025 1,    NaN,   NaN 9,     NaN,   NaN 9,13.121,  0.024 0,12.268, 0.024 0,11.724, 0.025 0,"  57,68",350,1,     NaN,  null,   null,
2MASS_J21011544+1756586A,   null,   L7:,68,    null,315.31434,17.94964,2451671.99,30.14,3.42,255,                 NaN,   NaN 9,17.419, 0.095 2,16.503, 0.056 2,15.617,  0.033 0,    NaN,   NaN 9,     NaN,   NaN 9,17.479,  0.193 2,16.471, 0.188 2,15.509, 0.117 1,"  44,57,68,137",650,2,     NaN,  WK,"   14,93,1",37
2MASS_J21011544+1756586B,   null,   L8:,68,    null,315.31434,17.94964,2451671.99,30.14,3.42,255,                 NaN,   NaN 9,17.729, 0.124 2,16.803, 0.069 2,15.907,  0.034 0,    NaN,   NaN 9,     NaN,   NaN 9,17.759,  0.206 2,16.781, 0.192 2,15.8, 0.117 1,"  44,57,68,137",650,2,     NaN,  WK,"   14,93,1",37
chi_Cap~D,   null,   null,  null,    null,317.14015,-21.19372,2451003.73,18.14,0.31,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,12.7, 0.100 0,    NaN,   NaN 9,254,364,1,9.545,  G,254,
chi_Cap~E,   null,   null,  null,    null,317.14015,-21.19372,2451003.73,18.14,0.31,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,12.7, 0.100 0,    NaN,   NaN 9,254,365,1,9.595,  G,254,
LP_397-10,   M6,   null,213,    null,319.02623,22.64619,2451004.92,48.43,1.07,80,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,11.783,  0.021 0,11.297, 0.021 0,10.827, 0.016 0,57,155,1,     NaN,  null,   null,
[$HB88$]$_M18,   M8.5,   null,170,    null,319.63228,-45.09785,2451437.54,46.7,7.9,247,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,13.425,  0.025 0,12.768, 0.027 0,12.368, 0.030 0,57,233,1,     NaN,  null,   null,
HD_203030B,   null,   L7.5,191,    young,319.74251,26.23056,2450748.63,24.46,0.74,253,                 NaN,   NaN 9,18.13, 0.550 0,16.85, 0.120 0,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,16.21, 0.100 0,191,265,1,11.92,  P,191,
LSPM_J2124+4003,   M6.5,   null,158,    null,321.13475,40.06666,2451689.89,66.69,1.32,80,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,10.339,  0.022 0,9.74, 0.028 0,9.431, 0.025 0,57,156,1,     NaN,  null,   null,
HB_2124-$4228,   M7.5,   null,219,    null,321.85888,-42.25511,2451410.59,28.9,6.2,247,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,13.321,  0.023 0,12.665, 0.025 0,12.186, 0.023 0,57,234,1,     NaN,  null,   null,
[$HB88$]$_M20,   null,   null,  null,    null,322.53595,-44.77441,2451410.61,37,16,247,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,14.315,  0.030 0,13.604, 0.023 0,13.163, 0.029 0,57,235,1,     NaN,  null,   null,
2MASSI_J2132114+134158A,   null,   L4.5:.,68,    null,323.04797,13.69951,2454315,36,0.7,68,                 NaN,   NaN 9,16.117, 0.063 1,15.049, 0.057 1,14.23,  0.060 1,    NaN,   NaN 9,     NaN,   NaN 9,16.198,  0.069 1,14.995, 0.057 1,14.258, 0.059 0,"  57,68",633,2,     NaN,  K,68237,
2MASSI_J2132114+134158B,   null,   L8.5:.,68,    null,323.04797,13.69951,2454315,36,0.7,68,                 NaN,   NaN 9,16.966, 0.068 1,15.96, 0.065 1,15.09,  0.067 1,    NaN,   NaN 9,     NaN,   NaN 9,17.068,  0.093 1,15.905, 0.065 1,15.077, 0.060 0,"  57,68",633,2,     NaN,  K,68237,
2MASSW_J2140293+162518A,   null,   M8,68,    null,325.12199,16.42172,2454314.99,32.5,1.1,68,                 NaN,   NaN 9,13.264, 0.057 1,12.695, 0.068 1,12.245,  0.033 1,    NaN,   NaN 9,     NaN,   NaN 9,13.317,  0.058 1,12.66, 0.068 1,12.271, 0.033 1,"  57,68,137",634,2,     NaN,  GWVK,"   14,17,4","6,93,137"
2MASSW_J2140293+162518B,   null,   M9.5,68,    null,325.12199,16.42172,2454314.99,32.5,1.1,68,                 NaN,   NaN 9,14.213, 0.117 1,13.602, 0.131 1,12.975,  0.037 1,    NaN,   NaN 9,     NaN,   NaN 9,14.275,  0.118 1,13.56, 0.131 1,13.011, 0.037 1,"  57,68,137",634,2,     NaN,  GWVK,"   14,17,4","6,93,137"
HN_Peg~B,   null,   T2.5,178,    young,326.11863,14.76883,2451081.76,55.91,0.45,253,16.863, 0.058 1,15.86, 0.030 0,15.4, 0.030 0,15.12,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,16.704,  0.163 0,15.551, 0.111 0,15.631, 0.249 0,"  57,68,178",266,1,43.2,  K,149,
Wolf_940B,   null,   T8.5,"  36,56",    null,326.66179,-0.17742,2454386,83.5,3.9,252,18.97, 0.040 0,18.18, 0.030 0,18.77, 0.030 0,18.97,  0.060 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,36,240,1,32,  K,36,
2MASS_J21513839-$4853542,   null,   T4,25,    null,327.90997,-48.8984,2451440.67,50.4,6.7,71,16.705, 0.090 1,15.531, 0.075 1,15.233, 0.096 1,15.528,  0.184 1,    NaN,   NaN 9,     NaN,   NaN 9,15.73,  0.075 0,15.168, 0.096 0,15.431, 0.184 0,"  57,68",351,1,     NaN,  null,   null,
LSPM_J2158+6117,   M6,   null,158,    null,329.64408,61.285,2451448.82,59.17,2.16,80,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,11.292,  0.027 0,10.785, 0.031 0,10.447, 0.019 0,57,157,1,     NaN,  null,   null,
\epsilon$_Ind~Ba,   null,   T1,123,    null,331.04384,-56.78271,2451490.61,276.06,0.28,253,                 NaN,   NaN 9,12.157, 0.022 0,11.599, 0.017 0,11.42,  0.018 0,9.708, 0.051 0,     NaN,   NaN 9,12.289,  0.024 0,11.514, 0.025 0,11.351, 0.021 0,57123,647,2,402,  V,123189,
\epsilon$_Ind~Bb,   null,   T6,123,    null,331.04384,-56.78271,2451490.61,276.06,0.28,253,                 NaN,   NaN 9,13.052, 0.023 0,13.404, 0.020 0,13.64,  0.020 0,11.338, 0.060 0,     NaN,   NaN 9,13.229,  0.031 0,13.204, 0.035 0,13.482, 0.021 0,57123,647,2,402,  V,123189,
2MASSW_J2206228-$204705A,   M8,   null,64,    null,331.59521,-20.78472,2454636.11,35.7,1.2,68,                 NaN,   NaN 9,13.044, 0.024 1,12.441, 0.024 1,12.009,  0.027 1,    NaN,   NaN 9,     NaN,   NaN 9,13.093,  0.024 1,12.402, 0.024 1,12.035, 0.027 0,"  57,64,68",635,2,     NaN,  GWVK,"   14,46,6",4137
2MASSW_J2206228-$204705B,   M8,   null,64,    null,331.59521,-20.78472,2454636.11,35.7,1.2,68,                 NaN,   NaN 9,13.104, 0.024 1,12.506, 0.024 1,12.076,  0.027 1,    NaN,   NaN 9,     NaN,   NaN 9,13.153,  0.024 1,12.472, 0.024 1,12.102, 0.028 0,"  57,64,68",635,2,     NaN,  GWVK,"   14,46,6",4137
GRH_2208-$20,   M7.5,   null,58,    null,332.7083,-19.8736,2450998.85,24.7,0.5,58,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,14,  0.033 0,13.498, 0.033 0,13.151, 0.038 0,57,138,1,     NaN,  null,   null,
TVLM_890-60235,   M7,   null,258,    null,335.77313,0.503,2451742.81,19.4,2.2,246,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,14.117,  0.030 0,13.522, 0.026 0,13.117, 0.038 0,57,225,1,     NaN,  null,   null,
2MASSW_J2224438-$015852,   L4.5,   L3.5,129135,    v-red,336.18387,-1.98302,2454316.97,86.2,1.1,68,15.321, 0.057 1,13.89, 0.030 0,12.84, 0.030 0,11.98,  0.030 0,10.9, 0.050 0,11.32, 0.050 0,14.073,  0.027 0,12.818, 0.026 0,12.022, 0.023 0,"  57,68,97,135",151,1,     NaN,  WN,93216,
2MASS_J22282889-$4310262,   null,   T6,25,    null,337.12039,-43.17397,2451140.53,94,7,71,16.557, 0.088 1,15.422, 0.073 1,15.412, 0.117 1,15.409,  0.206 1,    NaN,   NaN 9,     NaN,   NaN 9,15.662,  0.073 0,15.363, 0.117 0,15.296, 0.206 0,"  57,68",352,1,     NaN,  null,   null,
LHS_523,   M6.5,   null,124,    null,337.22667,-13.42163,2450989.85,88.8,4.9,252,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,10.768,  0.023 0,10.217, 0.025 0,9.843, 0.021 0,57,241,1,     NaN,  null,   null,
2MASS_J22344161+4041387A,   null,   M6:,4,"    young,Lk",Ha233       338.67340,40.69411,2451096.59,3.08,0.56,253,                 NaN,   NaN 9,13.25, 0.026 1,12.577, 0.022 1,12.139,  0.025 1,11.164, 0.061 0,     NaN,   NaN 9,13.296,  0.026 1,12.537, 0.022 1,12.171, 0.025 0,"  4,57,68",648,2,     NaN,  K,4,
2MASS_J22344161+4041387B,   null,   M6:,4,"    young,Lk",Ha233       338.67340,40.69411,2451096.59,3.08,0.56,253,                 NaN,   NaN 9,13.31, 0.027 1,12.673, 0.022 1,12.189,  0.025 1,11.394, 0.062 0,     NaN,   NaN 9,13.356,  0.027 1,12.637, 0.022 1,12.221, 0.025 0,"  4,57,68",648,2,     NaN,  K,4,
LP_460-44,   M7,   null,89,    null,338.95442,18.67497,2450725.67,43.54,3.55,80,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,12.393,  0.020 0,11.773, 0.022 0,11.365, 0.020 0,57,158,1,     NaN,  G,235,
G_216-7B,   M9.5,   null,130,    null,339.38565,39.37772,2451096.62,51.17,1.62,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,13.343,  0.022 0,12.691, 0.021 0,12.178, 0.019 0,57,267,1,33.6,  N,218,
ULAS_J223955.76+003252.6,   null,   T5.5,171,    null,339.98233,0.54796,2453650.85,10.4,5.2,183,19.94, 0.170 0,18.86, 0.090 0,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,171,179,1,     NaN,  K,68,
DENIS-P_J225210.73-$173013.4A,   null,   L4.5:.,68,    null,343.04579,-17.5031,2454319.01,63.2,1.6,68,                 NaN,   NaN 9,14.658, 0.040 1,13.732, 0.036 1,13.098,  0.028 1,    NaN,   NaN 9,     NaN,   NaN 9,14.741,  0.037 1,13.684, 0.036 1,13.12, 0.030 1,"  57,68",636,2,     NaN,  NK,68217,
DENIS-P_J225210.73-$173013.4B,   null,   T3.5:,68,    null,343.04579,-17.5031,2454319.01,63.2,1.6,68,                 NaN,   NaN 9,15.358, 0.060 1,14.901, 0.067 1,14.818,  0.070 1,    NaN,   NaN 9,     NaN,   NaN 9,15.531,  0.055 1,14.833, 0.066 1,14.75, 0.085 1,"  57,68",636,2,     NaN,  NK,68217,
SDSSp_J225529.09-$003433.4,   L0:,   null,225,    null,343.87113,-0.576,2451393.77,16.19,2.59,255,                 NaN,   NaN 9,15.5, 0.050 0,14.8, 0.050 0,14.28,  0.050 0,    NaN,   NaN 9,     NaN,   NaN 9,15.65,  0.056 0,14.756, 0.058 0,14.437, 0.075 0,57146,288,1,     NaN,  null,   null,
2MASS_J23062928-$0502285,   M7.5,   null,89,    null,346.62201,-5.04127,2451075.68,82.58,2.58,49,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,11.354,  0.022 0,10.718, 0.021 0,10.296, 0.023 0,57,115,1,     NaN,  WG,"   14,93,2",35
HR_8799c,   null,   null,  null,"    young,pl",346.86955,21.13426,2450730.75,25.38,0.7,253,                 NaN,   NaN 9,17.63, 0.170 0,16.88, 0.100 0,    NaN,    NaN 9,14.72, 0.090 0,15.03, 0.140 0,    NaN,    NaN 9,    NaN,   NaN 9,16.18, 0.040 0,"  70,78,182",268,1,0.96,  K,182,
HR_8799b,   null,   null,  null,"    young,pl",346.86955,21.13426,2450730.75,25.38,0.7,253,                 NaN,   NaN 9,19.28, 0.160 0,17.88, 0.050 0,    NaN,    NaN 9,15.64, 0.110 0,16.05, 0.300 0,    NaN,    NaN 9,    NaN,   NaN 9,16.96, 0.020 0,"  70,78,182",268,1,1.73,  K,182,
HR_8799e,   null,   null,  null,"    young,pl",346.86955,21.13426,2450730.75,25.38,0.7,253,                 NaN,   NaN 9,    NaN,   NaN 9,16.51, 0.430 0,    NaN,    NaN 9,14.59, 0.120 0,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,15.91, 0.220 0,70184,268,1,0.37,  K,184,
HR_8799d,   null,   null,  null,"    young,pl",346.86955,21.13426,2450730.75,25.38,0.7,253,                 NaN,   NaN 9,18.24, 0.430 0,17.16, 0.160 0,    NaN,    NaN 9,14.54, 0.160 0,14.65, 0.350 0,    NaN,    NaN 9,    NaN,   NaN 9,16.09, 0.120 0,"  70,78,182",268,1,0.61,  K,182,
APMPM_J2330-$4737,   M6,   M8.5,170,    null,352.56717,-47.61276,2451834.57,72.71,3.33,49,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,11.229,  0.024 0,10.641, 0.025 0,10.279, 0.021 0,57,116,1,     NaN,  null,   null,
2MASS_J23310161-$0406193A,   null,   null,  null,    null,352.75673,-4.10539,2451114.57,38.29,0.54,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,"  46,57",649,2,452,  GWV,"   14,17,4","6,93"
2MASS_J23310161-$0406193B,   null,   null,  null,    null,352.75674,-4.10539,2451114.57,38.29,0.54,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,"  46,57",649,2,452,  GWV,"   14,17,4","6,93"
APMPM_J2331-$2750,   M7.5,   M9.5,170,    null,352.84061,-27.83056,2451341.93,69.14,2.06,49,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,11.646,  0.023 0,11.055, 0.026 0,10.651, 0.026 0,57,117,1,     NaN,  null,   null,
HD_221356D,   null,   L1:,81,    null,352.87896,-4.08986,2451077.62,38.29,0.54,253,14.933, 0.059 0,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,13.763,  0.038 0,13.209, 0.026 0,12.755, 0.025 0,81,649,1,12.13,  null,   null,
Ross_248,   M5.5,   null,108,    null,355.47912,44.17799,2451115.68,316.7,0.7,79,7.499, 0.026 0,6.832, 0.026 0,6.272, 0.027 0,5.905,  0.020 0,5.58, 0.060 0,     NaN,   NaN 9,6.884,  0.026 0,6.247, 0.027 0,5.929, 0.020 0,57112143,366,1,     NaN,  Ws,155231,
APMPM_J2344-$2906,   M6.5,   null,170,    null,355.88328,-29.10755,2451126.51,32.32,4.55,49,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,13.256,  0.028 0,12.754, 0.024 0,12.433, 0.030 0,57,118,1,     NaN,  null,   null,
APMPM_J2354-$3316C,   M8.5,   M8,28227,    null,358.5387,-33.27406,2451386.84,44.24,1.78,243,13.88, 0.055 1,12.999, 0.024 1,12.406, 0.027 1,11.859,  0.023 1,    NaN,   NaN 9,     NaN,   NaN 9,13.051,  0.024 0,12.365, 0.027 0,11.884, 0.023 0,"  57,68",208,1,103,  null,   null,
2MASSI_J2356547-$155310,   null,   T5.5,25,    null,359.22821,-15.88643,2451011.83,68.97,3.42,255,16.644, 0.058 1,15.48, 0.030 0,15.7, 0.030 0,15.73,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,15.824,  0.057 0,15.63, 0.100 0,15.771, 0.183 0,"  57,68,135",289,1,     NaN,  W,23,
APMPM_J2359-$6246,   null,   null,  null,    null,359.67856,-62.76176,2451526.59,47.98,2.22,49,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,11.387,  0.026 0,10.827, 0.023 0,10.515, 0.023 0,57,119,1,     NaN,  null,   null,
WISEP_J235941.07-$733504.8,   null,   T5.5,  31b,    null,359.91812,-73.58486,2451528.6,86.7,5.7,71,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,16.16,  0.105 0,15.912, 0.194 0,    NaN,   NaN 9,57,353,1,     NaN,  null,   null,
