datetime,FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM,HEADERX,HEADERY
2013-10-16 21:02:58,icdg10uwq_flt.fits,F160W,10,129.0,0,7,14.970785000000001,15.99005126953125,8.3306884765625,129.11123657226562,222.30088806152344,10.0,1.0037500858306885,0.003543032566085458,2.094187498092652,8387.708984375,30.1427001953125,1.397969365119934,1.5646854639053345,128.996453292,222.002034191
2013-10-16 21:03:31,icdg10uxq_flt.fits,F160W,10,129.0,0,7,14.970785000000001,15.993659973144533,8.3551025390625,129.10554504394528,222.3068084716797,10.0,1.001109957695007,0.008945816196501255,2.061596632003784,8350.0068359375,29.92168426513672,1.397015929222107,1.5794820785522459,128.996446155,222.002100776
2013-10-16 21:04:04,icdg10uyq_flt.fits,F160W,10,129.0,0,7,14.970785000000001,15.980148315429688,8.352798461914062,129.10606384277344,222.3113250732422,10.0,1.0023199319839478,-0.0010969786671921609,2.0353262424468994,8331.35546875,29.757577896118164,1.400571584701538,1.5754635334014893,128.996439017,222.002167369
2013-10-16 21:04:37,icdg10uzq_flt.fits,F160W,10,129.0,0,7,14.970785000000001,15.98711395263672,8.351982116699219,129.11064147949222,222.30398559570312,10.0,1.0016050338745115,0.020700477063655853,2.087111234664917,8405.833984375,30.123798370361328,1.4010605812072754,1.5724776983261108,128.996431885,222.002233916
2013-10-16 21:05:16,icdg10v0q_flt.fits,F125W,10,129.0,0,8,29.663755,15.903083801269533,8.315185546875,129.18563842773438,222.13331604003903,2.0,1.0022100210189822,0.026056725531816486,1.4673740863800049,8147.51318359375,21.110910415649414,1.4627554416656494,1.4575746059417725,128.998133764,222.0053621
2013-10-16 21:06:04,icdg10v1q_flt.fits,F125W,10,129.0,0,8,29.663755,15.913345336914062,8.306831359863281,129.18145751953122,222.13311767578125,2.0,1.0005600452423096,0.02785938605666161,1.4452660083770752,8178.58203125,21.01436996459961,1.4589664936065674,1.4531461000442505,128.998123491,222.005457971
2013-10-16 21:06:52,icdg10v2q_flt.fits,F125W,10,129.0,0,8,29.663755,15.926383972167967,8.321037292480469,129.18121337890622,222.13699340820312,2.0,0.9988000392913818,0.04234600439667702,1.465660810470581,8198.697265625,21.14230155944824,1.4452998638153076,1.4402729272842407,128.998113311,222.005552973
2013-10-16 21:07:40,icdg10v3q_flt.fits,F125W,10,129.0,0,8,29.663755,15.94921875,8.332260131835938,129.18144226074222,222.13233947753903,2.0,1.0029799938201904,0.0632782131433487,1.4437395334243774,8164.5146484375,20.9947452545166,1.4631658792495728,1.4539905786514282,128.998103252,222.005646843
2013-10-16 21:08:34,icdg10v4q_flt.fits,F160W,10,129.0,0,9,14.970785000000001,15.995834350585938,8.361198425292969,129.10868835449222,222.31773376464844,10.0,1.000890016555786,-0.0011521960841491818,2.0414745807647705,8329.5673828125,29.789003372192386,1.3954623937606812,1.5927852392196655,128.996381745,222.002701711
2013-10-16 21:09:07,icdg10v5q_flt.fits,F160W,10,129.0,0,9,14.970785000000001,15.98223114013672,8.337577819824219,129.10836791992188,222.3236389160156,10.0,1.0012199878692627,0.057691872119903564,2.0502481460571294,8266.4765625,29.766115188598636,1.4072264432907104,1.6081693172454834,128.996375029,222.002764369
2013-10-16 21:09:40,icdg10v6q_flt.fits,F160W,10,129.0,0,9,14.970785000000001,16.016975402832028,8.374443054199219,129.11383056640622,222.3371124267578,10.0,1.0037500858306885,0.02090555801987648,2.0823373794555664,8398.8203125,30.089763641357425,1.4111865758895874,1.6153398752212524,128.996368405,222.002826171
2013-10-16 21:10:13,icdg10v7q_flt.fits,F160W,10,129.0,0,9,14.970785000000001,16.005844116210938,8.360183715820312,129.10067749023438,222.3213195800781,10.0,1.0013300180435178,-0.005102969706058502,2.1182336807250977,8352.505859375,30.23699188232422,1.3924401998519895,1.5961662530899048,128.996361878,222.002887066
2013-10-16 21:10:46,icdg10v8q_flt.fits,F160W,10,129.0,0,9,14.970785000000001,16.007270812988278,8.361892700195312,129.12022399902344,222.3249664306641,10.0,1.0027600526809692,0.036523990333080285,2.0643296241760254,8353.8173828125,29.94089508056641,1.4039721488952637,1.6042138338088991,128.99635546,222.002946946
2013-10-16 21:11:25,icdg10v9q_flt.fits,F125W,10,129.0,0,10,29.663755,15.926719665527346,8.3162841796875,129.187744140625,222.1399688720703,2.0,1.0009999275207522,0.04335439577698708,1.4633783102035522,8183.1513671875,21.11733627319336,1.4625802040100098,1.4601962566375732,128.998058523,222.006064255
2013-10-16 21:12:13,icdg10vaq_flt.fits,F125W,10,129.0,0,10,29.663755,15.960037231445312,8.348159790039062,129.18536376953122,222.1460266113281,2.0,0.9995700120925904,0.08535551279783249,1.4642454385757446,8190.79931640625,21.128210067749023,1.4608211517333984,1.4631688594818115,128.998049666,222.006146905
2013-10-16 21:13:01,icdg10vbq_flt.fits,F125W,10,129.0,0,10,29.663755,15.94287109375,8.331741333007812,129.20210266113278,222.1684417724609,2.0,1.0030900239944458,0.062433574348688126,1.4754619598388672,8163.58984375,21.168439865112305,1.5036715269088743,1.5039101839065552,128.998041106,222.006226787
2013-10-16 21:13:49,icdg10vcq_flt.fits,F125W,10,129.0,0,10,29.663755,15.934738159179688,8.330665588378906,129.18692016601562,222.14215087890625,2.0,0.9995700120925904,0.0747508853673935,1.44782292842865,8444.3544921875,21.24030876159668,1.4356082677841189,1.430572271347046,128.998032866,222.00630368
2013-10-16 21:14:43,icdg10vdq_flt.fits,F160W,10,129.0,0,11,14.970785000000001,15.968299865722654,8.328987121582031,129.12120056152344,222.34420776367188,10.0,1.0005600452423096,0.00469835102558136,2.070204496383667,8436.04296875,30.06457710266113,1.4260498285293581,1.6298617124557495,128.996313307,222.003340235
2013-10-16 21:15:16,icdg10veq_flt.fits,F160W,10,129.0,0,11,14.970785000000001,16.01898193359375,8.370079040527344,129.11614990234378,222.3422393798828,10.0,1.0030900239944458,0.07882393151521683,2.105039358139038,8373.267578125,30.18670082092285,1.4001308679580688,1.6248627901077268,128.996308081,222.003388991
2013-10-16 21:15:49,icdg10vfq_flt.fits,F160W,10,129.0,0,11,14.970785000000001,16.014663696289062,8.372581481933594,129.11827087402344,222.3380584716797,10.0,1.0035851001739502,0.039812743663787835,2.0452182292938232,8293.619140625,29.76908874511719,1.417139768600464,1.6223384141921997,128.996303031,222.003436102
2013-10-16 21:16:22,icdg10vgq_flt.fits,F160W,10,129.0,0,11,14.970785000000001,16.010879516601562,8.382049560546875,129.12335205078122,222.3419647216797,10.0,1.0041900873184204,0.052886344492435455,2.0708398818969727,8480.6845703125,30.11759948730469,1.4098051786422732,1.609766721725464,128.996298168,222.00348148
2013-10-16 21:16:55,icdg10vhq_flt.fits,F160W,10,129.0,0,11,14.970785000000001,15.995651245117188,8.385513305664062,129.12265014648438,222.365966796875,10.0,1.0037500858306885,0.018363673239946362,2.1041853427886963,8487.2314453125,30.307819366455078,1.4060044288635254,1.6659785509109497,128.996293498,222.003525048
2013-10-16 21:17:34,icdg10viq_flt.fits,F125W,10,129.0,0,12,29.663755,15.920379638671875,8.308494567871094,129.189697265625,222.1498107910156,2.0,1.0016599893569946,0.05691009014844895,1.4692258834838867,8214.2080078125,21.17429542541504,1.4708338975906372,1.4681357145309448,128.997999159,222.006618234
2013-10-16 21:18:22,icdg10vjq_flt.fits,F125W,10,129.0,0,12,29.663755,15.918716430664062,8.331764221191406,129.18182373046878,222.15591430664062,2.0,1.0030900239944458,0.06338268518447876,1.4946600198745728,8252.892578125,21.34577178955078,1.458728313446045,1.4791865348815918,128.997993143,222.006674382
2013-10-16 21:19:10,icdg10vkq_flt.fits,F125W,10,129.0,0,12,29.663755,15.96435546875,8.347610473632812,129.18916320800778,222.15060424804688,2.0,1.00177001953125,0.05895787104964256,1.4579598903656006,8380.5771484375,21.244768142700195,1.4521362781524658,1.4503827095031738,128.997987578,222.006726307
2013-10-16 21:19:58,icdg10vlq_flt.fits,F125W,10,129.0,0,12,29.663755,15.946212768554688,8.353225708007812,129.19207763671878,222.16552734375,2.0,1.00457501411438,0.07945157587528229,1.455071210861206,8144.08935546875,21.04042625427246,1.487928032875061,1.4954566955566406,128.997982482,222.006773867
2013-10-16 22:16:17,icdg11vnq_flt.fits,F125W,11,101.0,0,0,29.663755,0.0406036376953125,-0.0729827880859375,94.8155517578125,208.061279296875,5.0,1.0029799938201904,-0.045991864055395126,1.7133111953735352,8236.2685546875,22.60065460205078,1.3345253467559814,1.3501430749893188,174.172435543,215.799673074
2013-10-16 22:17:05,icdg11voq_flt.fits,F125W,11,101.0,0,0,29.663755,0.03948211669921875,-0.061798095703125,94.81600952148438,208.0630340576172,5.0,1.0032000541687012,0.00930339191108942,1.6926017999649048,8242.76171875,22.481250762939453,1.3262395858764648,1.3483150005340576,174.17243968,215.799681972
2013-10-16 22:17:53,icdg11vpq_flt.fits,F125W,11,101.0,0,0,29.663755,0.01715087890625,-0.070098876953125,94.81721496582031,208.05825805664062,5.0,1.0032000541687012,0.02115721255540848,1.7007983922958374,8263.302734375,22.54568862915039,1.3259401321411133,1.347087860107422,174.172445995,215.799695555
2013-10-16 22:18:41,icdg11vqq_flt.fits,F125W,11,101.0,0,0,29.663755,0.03353118896484375,-0.0646514892578125,94.8198471069336,208.0581817626953,5.0,1.0046300888061523,0.008447847329080105,1.70538592338562,8207.9970703125,22.53185844421387,1.3187333345413208,1.344721436500549,174.172454472,215.799713788
2013-10-16 22:19:35,icdg11vrq_flt.fits,F160W,11,101.0,0,1,14.970785000000001,0.0687103271484375,-0.010894775390625,94.7107925415039,208.2096710205078,13.0,1.0009999275207522,0.018971102312207225,2.208003044128418,8360.9052734375,30.75192832946777,1.5317542552947998,1.4994224309921265,174.170653293,215.797117387
2013-10-16 22:20:08,icdg11vsq_flt.fits,F160W,11,101.0,0,1,14.970785000000001,0.07024383544921875,-0.0159454345703125,94.71495056152344,208.2170867919922,13.0,0.9950600266456604,-0.0014384315581992269,2.1650335788726807,8361.7783203125,30.50926971435547,1.53096342086792,1.4914973974227903,174.170661772,215.797135624
2013-10-16 22:20:41,icdg11vtq_flt.fits,F160W,11,101.0,0,1,14.970785000000001,0.06864166259765625,-0.0028533935546875,94.71412658691406,208.2108917236328,13.0,0.9986900091171264,-0.02061686664819717,2.238856315612793,8405.603515625,30.9768180847168,1.5240556001663208,1.4909590482711792,174.170671241,215.79715599
